,ClientAccountID,AccountAlias,Model,CurrencyPrimary,ReportDate,Cash,CashLong,CashShort,BrokerCashComponent,BrokerCashComponentLong,BrokerCashComponentShort,FDICInsuredBankSweepAccountCashComponent,FDICInsuredBankSweepAccountCashComponentLong,FDICInsuredBankSweepAccountCashComponentShort,InsuredBankDepositRedemptionCashComponent,InsuredBankDepositRedemptionCashComponentLong,InsuredBankDepositRedemptionCashComponentShort,SLBCashCollateral,SLBCashCollateralLong,SLBCashCollateralShort,Stock,StockLong,StockShort,IPOSubscription,IPOSubscriptionLong,IPOSubscriptionShort,SLBDirectSecuritiesBorrowed,SLBDirectSecuritiesBorrowedLong,SLBDirectSecuritiesBorrowedShort,SLBDirectSecuritiesLent,SLBDirectSecuritiesLentLong,SLBDirectSecuritiesLentShort,Options,OptionsLong,OptionsShort,Bonds,BondsLong,BondsShort,Commodities,CommoditiesLong,CommoditiesShort,Notes,NotesLong,NotesShort,Funds,FundsLong,FundsShort,DividendAccruals,DividendAccrualsLong,DividendAccrualsShort,InterestAccruals,InterestAccrualsLong,InterestAccrualsShort,BrokerInterestAccrualsComponent,BrokerInterestAccrualsComponentLong,BrokerInterestAccrualsComponentShort,FDICInsuredAccountInterestAccrualsComponent,FDICInsuredAccountInterestAccrualsComponentLong,FDICInsuredAccountInterestAccrualsComponentShort,BondInterestAccrualsComponent,BondInterestAccrualsComponentLong,BondInterestAccrualsComponentShort,BrokerFeesAccrualsComponent,BrokerFeesAccrualsComponentLong,BrokerFeesAccrualsComponentShort,EventContractInterestAccruals,EventContractInterestAccrualsLong,EventContractInterestAccrualsShort,MarginFinancingChargeAccruals,MarginFinancingChargeAccrualsLong,MarginFinancingChargeAccrualsShort,SoftDollars,SoftDollarsLong,SoftDollarsShort,ForexCfdUnrealizedPl,ForexCfdUnrealizedPlLong,ForexCfdUnrealizedPlShort,CfdUnrealizedPl,CfdUnrealizedPlLong,CfdUnrealizedPlShort,PhysicalDelivery,PhysicalDeliveryLong,PhysicalDeliveryShort,Crypto,CryptoLong,CryptoShort,Total,TotalLong,TotalShort,fund,date
0,U4297056,,,USD,20240503,1841.931508097,79968.630594207,-78126.69908611,1841.931508097,79968.630594207,-78126.69908611,0,0,0,0,0,0,0,0,0,1131348.952952,1149610.952952,-18262,0,0,0,0,0,0,0,0,0,575,575,0,0,0,0,0,0,0,0,0,0,0,0,0,63.99,63.99,0,-13.276004,13.8,-27.076004,-13.276004,13.8,-27.076004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133816.598456098,1230232.373546207,-96415.77509011,undergrad,2024-05-03
1,U4297056,,,USD,20240506,1783.855537768,79968.630594207,-78184.775056439,1783.855537768,79968.630594207,-78184.775056439,0,0,0,0,0,0,0,0,0,1144087.20302,1162579.20302,-18492,0,0,0,0,0,0,0,0,0,717.6,717.6,0,0,0,0,0,0,0,0,0,0,0,0,0,63.99,63.99,0,-35.43948,34.56,-69.99948,-35.43948,34.56,-69.99948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146617.209077768,1243363.983614207,-96746.774536439,undergrad,2024-05-06
3,U4297056,,,USD,20240506,1783.855537768,79968.630594207,-78184.775056439,1783.855537768,79968.630594207,-78184.775056439,0,0,0,0,0,0,0,0,0,1144087.20302,1162579.20302,-18492,0,0,0,0,0,0,0,0,0,717.6,717.6,0,0,0,0,0,0,0,0,0,0,0,0,0,63.99,63.99,0,-35.43948,34.56,-69.99948,-35.43948,34.56,-69.99948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146617.209077768,1243363.983614207,-96746.774536439,undergrad,2024-05-06
4,U4297056,,,USD,20240507,1956.737982136,80032.620594207,-78075.882612071,1956.737982136,80032.620594207,-78075.882612071,0,0,0,0,0,0,0,0,0,1142691.173335,1161551.173335,-18860,0,0,0,0,0,0,0,0,0,460,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-44.028795,40.86,-84.888795,-44.028795,40.86,-84.888795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145063.882522136,1242084.653929207,-97020.771407071,undergrad,2024-05-07
6,U4297056,,,USD,20240507,1956.737982136,80032.620594207,-78075.882612071,1956.737982136,80032.620594207,-78075.882612071,0,0,0,0,0,0,0,0,0,1142691.173335,1161551.173335,-18860,0,0,0,0,0,0,0,0,0,460,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-44.028795,40.86,-84.888795,-44.028795,40.86,-84.888795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145063.882522136,1242084.653929207,-97020.771407071,undergrad,2024-05-07
7,U4297056,,,USD,20240508,2007.554456174,80032.620594207,-78025.066138033,2007.554456174,80032.620594207,-78025.066138033,0,0,0,0,0,0,0,0,0,1147191.61066,1164579.61066,-17388,0,0,0,0,0,0,0,0,0,345,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-52.270276,47.17,-99.440276,-52.270276,47.17,-99.440276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149491.894840174,1245004.401254207,-95512.506414033,undergrad,2024-05-08
9,U4297056,,,USD,20240508,2007.554456174,80032.620594207,-78025.066138033,2007.554456174,80032.620594207,-78025.066138033,0,0,0,0,0,0,0,0,0,1147191.61066,1164579.61066,-17388,0,0,0,0,0,0,0,0,0,345,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-52.270276,47.17,-99.440276,-52.270276,47.17,-99.440276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149491.894840174,1245004.401254207,-95512.506414033,undergrad,2024-05-08
10,U4297056,,,USD,20240509,1760.731582273,80032.620594207,-78271.889011934,1760.731582273,80032.620594207,-78271.889011934,0,0,0,0,0,0,0,0,0,1145460.179324,1163262.179324,-17802,0,0,0,0,0,0,0,0,0,345,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-60.980958,53.48,-114.460958,-60.980958,53.48,-114.460958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147504.929948273,1243693.279918207,-96188.349969934,undergrad,2024-05-09
12,U4297056,,,USD,20240509,1760.731582273,80032.620594207,-78271.889011934,1760.731582273,80032.620594207,-78271.889011934,0,0,0,0,0,0,0,0,0,1145460.179324,1163262.179324,-17802,0,0,0,0,0,0,0,0,0,345,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-60.980958,53.48,-114.460958,-60.980958,53.48,-114.460958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147504.929948273,1243693.279918207,-96188.349969934,undergrad,2024-05-09
13,U4297056,,,USD,20240510,1840.586041476,80032.620594207,-78192.034552731,1840.586041476,80032.620594207,-78192.034552731,0,0,0,0,0,0,0,0,0,1144746.135265,1160984.135265,-16238,0,0,0,0,0,0,0,0,0,460,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68.207837,60.41,-128.617837,-68.207837,60.41,-128.617837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146978.513469476,1241537.165859207,-94558.652389731,undergrad,2024-05-10
15,U4297056,,,USD,20240510,1840.586041476,80032.620594207,-78192.034552731,1840.586041476,80032.620594207,-78192.034552731,0,0,0,0,0,0,0,0,0,1144746.135265,1160984.135265,-16238,0,0,0,0,0,0,0,0,0,460,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68.207837,60.41,-128.617837,-68.207837,60.41,-128.617837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146978.513469476,1241537.165859207,-94558.652389731,undergrad,2024-05-10
16,U4297056,,,USD,20240513,59879.120111943,138209.085094207,-78329.964982264,59879.120111943,138209.085094207,-78329.964982264,0,0,0,0,0,0,0,0,0,1085696.94989,1102302.94989,-16606,0,0,0,0,0,0,0,0,0,339.48,339.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89.40547,81.2,-170.60547,-89.40547,81.2,-170.60547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145826.144531943,1240932.714984207,-95106.570452264,undergrad,2024-05-13
18,U4297056,,,USD,20240513,59879.120111943,138209.085094207,-78329.964982264,59879.120111943,138209.085094207,-78329.964982264,0,0,0,0,0,0,0,0,0,1085696.94989,1102302.94989,-16606,0,0,0,0,0,0,0,0,0,339.48,339.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89.40547,81.2,-170.60547,-89.40547,81.2,-170.60547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145826.144531943,1240932.714984207,-95106.570452264,undergrad,2024-05-13
19,U4297056,,,USD,20240514,59668.594719498,138209.085094207,-78540.490374709,59668.594719498,138209.085094207,-78540.490374709,0,0,0,0,0,0,0,0,0,1094287.407814,1111721.407814,-17434,0,0,0,0,0,0,0,0,0,345,345,0,0,0,0,0,0,0,0,0,0,0,0,0,60.7,60.7,0,-97.017982,88.13,-185.147982,-97.017982,88.13,-185.147982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154264.684551498,1250424.322908207,-96159.638356709,undergrad,2024-05-14
21,U4297056,,,USD,20240514,59668.594719498,138209.085094207,-78540.490374709,59668.594719498,138209.085094207,-78540.490374709,0,0,0,0,0,0,0,0,0,1094287.407814,1111721.407814,-17434,0,0,0,0,0,0,0,0,0,345,345,0,0,0,0,0,0,0,0,0,0,0,0,0,60.7,60.7,0,-97.017982,88.13,-185.147982,-97.017982,88.13,-185.147982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154264.684551498,1250424.322908207,-96159.638356709,undergrad,2024-05-14
22,U4297056,,,USD,20240515,69660.731013235,148673.088646873,-79012.357633638,69660.731013235,148673.088646873,-79012.357633638,0,0,0,0,0,0,0,0,0,1099155.442712,1116359.442712,-17204,0,0,0,0,0,0,0,0,0,358.8,358.8,0,0,0,0,0,0,0,0,0,0,0,0,0,60.7,60.7,0,-105.233924,95.06,-200.293924,-105.233924,95.06,-200.293924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169130.439801235,1265547.091358873,-96416.651557638,undergrad,2024-05-15
