ClientAccountID,AccountAlias,Model,CurrencyPrimary,FromDate,ToDate,StartingValue,Mtm,MtmAtPaxos,Realized,ChangeInUnrealized,CostAdjustments,TransferredPnlAdjustments,DepositsWithdrawals,CarbonCredits,Donations,InternalCashTransfers,PaxosTransfers,ExcessFundSweep,AssetTransfers,DebitCardActivity,BillPay,GrantActivity,Dividends,WithholdingTax,871mWithholding,WithholdingTaxCollected,ChangeInDividendAccruals,Interest,ChangeInInterestAccruals,BrokerFees,changeInBrokerFeeAccruals,AdvisorFees,ClientFees,OtherFees,FeesReceivables,Commissions,CommissionsAtPaxos,ReferralFee,CommissionCreditsRedemption,CommissionReceivables,ForexCommissions,TransactionTax,TaxReceivables,SalesTax,BillableSalesTax,SoftDollars,NetFxTrading,FxTranslation,LinkingAdjustments,Other,EndingValue,TWR,CorporateActionProceeds
U12702064,,,USD,20240429,20240429,1301712.46,6175.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1307888.04,0.474419673,0
ClientAccountID,AccountAlias,Model,CurrencyPrimary,FromDate,ToDate,StartingValue,Mtm,MtmAtPaxos,Realized,ChangeInUnrealized,CostAdjustments,TransferredPnlAdjustments,DepositsWithdrawals,CarbonCredits,Donations,InternalCashTransfers,PaxosTransfers,ExcessFundSweep,AssetTransfers,DebitCardActivity,BillPay,GrantActivity,Dividends,WithholdingTax,871mWithholding,WithholdingTaxCollected,ChangeInDividendAccruals,Interest,ChangeInInterestAccruals,BrokerFees,changeInBrokerFeeAccruals,AdvisorFees,ClientFees,OtherFees,FeesReceivables,Commissions,CommissionsAtPaxos,ReferralFee,CommissionCreditsRedemption,CommissionReceivables,ForexCommissions,TransactionTax,TaxReceivables,SalesTax,BillableSalesTax,SoftDollars,NetFxTrading,FxTranslation,LinkingAdjustments,Other,EndingValue,TWR,CorporateActionProceeds
U12702064,,,USD,20240430,20240430,1307888.04,-19620.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.93,-9.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1288267.44,-1.50017428,0
ClientAccountID,AccountAlias,Model,CurrencyPrimary,FromDate,ToDate,StartingValue,Mtm,MtmAtPaxos,Realized,ChangeInUnrealized,CostAdjustments,TransferredPnlAdjustments,DepositsWithdrawals,CarbonCredits,Donations,InternalCashTransfers,PaxosTransfers,ExcessFundSweep,AssetTransfers,DebitCardActivity,BillPay,GrantActivity,Dividends,WithholdingTax,871mWithholding,WithholdingTaxCollected,ChangeInDividendAccruals,Interest,ChangeInInterestAccruals,BrokerFees,changeInBrokerFeeAccruals,AdvisorFees,ClientFees,OtherFees,FeesReceivables,Commissions,CommissionsAtPaxos,ReferralFee,CommissionCreditsRedemption,CommissionReceivables,ForexCommissions,TransactionTax,TaxReceivables,SalesTax,BillableSalesTax,SoftDollars,NetFxTrading,FxTranslation,LinkingAdjustments,Other,EndingValue,TWR,CorporateActionProceeds
U12702064,,,USD,20240501,20240501,1288267.44,-5018.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322.26,0,0,0,-322.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1283249.31,-0.389525485,0
ClientAccountID,AccountAlias,Model,CurrencyPrimary,FromDate,ToDate,StartingValue,Mtm,MtmAtPaxos,Realized,ChangeInUnrealized,CostAdjustments,TransferredPnlAdjustments,DepositsWithdrawals,CarbonCredits,Donations,InternalCashTransfers,PaxosTransfers,ExcessFundSweep,AssetTransfers,DebitCardActivity,BillPay,GrantActivity,Dividends,WithholdingTax,871mWithholding,WithholdingTaxCollected,ChangeInDividendAccruals,Interest,ChangeInInterestAccruals,BrokerFees,changeInBrokerFeeAccruals,AdvisorFees,ClientFees,OtherFees,FeesReceivables,Commissions,CommissionsAtPaxos,ReferralFee,CommissionCreditsRedemption,CommissionReceivables,ForexCommissions,TransactionTax,TaxReceivables,SalesTax,BillableSalesTax,SoftDollars,NetFxTrading,FxTranslation,LinkingAdjustments,Other,EndingValue,TWR,CorporateActionProceeds
U12702064,,,USD,20240502,20240502,1283249.31,11595.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1294844.41,0.903573445,0
ClientAccountID,AccountAlias,Model,CurrencyPrimary,FromDate,ToDate,StartingValue,Mtm,MtmAtPaxos,Realized,ChangeInUnrealized,CostAdjustments,TransferredPnlAdjustments,DepositsWithdrawals,CarbonCredits,Donations,InternalCashTransfers,PaxosTransfers,ExcessFundSweep,AssetTransfers,DebitCardActivity,BillPay,GrantActivity,Dividends,WithholdingTax,871mWithholding,WithholdingTaxCollected,ChangeInDividendAccruals,Interest,ChangeInInterestAccruals,BrokerFees,changeInBrokerFeeAccruals,AdvisorFees,ClientFees,OtherFees,FeesReceivables,Commissions,CommissionsAtPaxos,ReferralFee,CommissionCreditsRedemption,CommissionReceivables,ForexCommissions,TransactionTax,TaxReceivables,SalesTax,BillableSalesTax,SoftDollars,NetFxTrading,FxTranslation,LinkingAdjustments,Other,EndingValue,TWR,CorporateActionProceeds
U12702064,,,USD,20240503,20240503,1294844.41,18440.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.1,45.03,-45.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1313428.03,1.435201006,0
ClientAccountID,AccountAlias,Model,CurrencyPrimary,FromDate,ToDate,StartingValue,Mtm,MtmAtPaxos,Realized,ChangeInUnrealized,CostAdjustments,TransferredPnlAdjustments,DepositsWithdrawals,CarbonCredits,Donations,InternalCashTransfers,PaxosTransfers,ExcessFundSweep,AssetTransfers,DebitCardActivity,BillPay,GrantActivity,Dividends,WithholdingTax,871mWithholding,WithholdingTaxCollected,ChangeInDividendAccruals,Interest,ChangeInInterestAccruals,BrokerFees,changeInBrokerFeeAccruals,AdvisorFees,ClientFees,OtherFees,FeesReceivables,Commissions,CommissionsAtPaxos,ReferralFee,CommissionCreditsRedemption,CommissionReceivables,ForexCommissions,TransactionTax,TaxReceivables,SalesTax,BillableSalesTax,SoftDollars,NetFxTrading,FxTranslation,LinkingAdjustments,Other,EndingValue,TWR,CorporateActionProceeds
U12702064,,,USD,20240506,20240506,1313428.03,13860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1327288.03,1.055253861,0
ClientAccountID,AccountAlias,Model,CurrencyPrimary,FromDate,ToDate,StartingValue,Mtm,MtmAtPaxos,Realized,ChangeInUnrealized,CostAdjustments,TransferredPnlAdjustments,DepositsWithdrawals,CarbonCredits,Donations,InternalCashTransfers,PaxosTransfers,ExcessFundSweep,AssetTransfers,DebitCardActivity,BillPay,GrantActivity,Dividends,WithholdingTax,871mWithholding,WithholdingTaxCollected,ChangeInDividendAccruals,Interest,ChangeInInterestAccruals,BrokerFees,changeInBrokerFeeAccruals,AdvisorFees,ClientFees,OtherFees,FeesReceivables,Commissions,CommissionsAtPaxos,ReferralFee,CommissionCreditsRedemption,CommissionReceivables,ForexCommissions,TransactionTax,TaxReceivables,SalesTax,BillableSalesTax,SoftDollars,NetFxTrading,FxTranslation,LinkingAdjustments,Other,EndingValue,TWR,CorporateActionProceeds
U12702064,,,USD,20240507,20240507,1327288.03,14964.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1342252.42,1.127441042,0
ClientAccountID,AccountAlias,Model,CurrencyPrimary,FromDate,ToDate,StartingValue,Mtm,MtmAtPaxos,Realized,ChangeInUnrealized,CostAdjustments,TransferredPnlAdjustments,DepositsWithdrawals,CarbonCredits,Donations,InternalCashTransfers,PaxosTransfers,ExcessFundSweep,AssetTransfers,DebitCardActivity,BillPay,GrantActivity,Dividends,WithholdingTax,871mWithholding,WithholdingTaxCollected,ChangeInDividendAccruals,Interest,ChangeInInterestAccruals,BrokerFees,changeInBrokerFeeAccruals,AdvisorFees,ClientFees,OtherFees,FeesReceivables,Commissions,CommissionsAtPaxos,ReferralFee,CommissionCreditsRedemption,CommissionReceivables,ForexCommissions,TransactionTax,TaxReceivables,SalesTax,BillableSalesTax,SoftDollars,NetFxTrading,FxTranslation,LinkingAdjustments,Other,EndingValue,TWR,CorporateActionProceeds
U12702064,,,USD,20240508,20240508,1342252.42,-5973.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1336358.7,-0.439091777,0
